Country or Area,ISO-alpha3 Code,Continent,Region 1,Region 2
Afghanistan,AFG,Asia,Southern Asia,
Åland Islands,ALA,Europe,Northern Europe,
Albania,ALB,Europe,Southern Europe,
Chameria,ALB,Europe,Southern Europe,
Algeria,DZA,Africa,Northern Africa,
Kabylia,DZA,Africa,Northern Africa,
American Samoa,ASM,Oceania,Polynesia,
Andorra,AND,Europe,Southern Europe,
Angola,AGO,Africa,Middle Africa,Sub-Saharan Africa
Anguilla,AIA,North America,Caribbean,Latin America and the Caribbean
Antarctica,ATA,Antarctica,Antarctica,
Antigua and Barbuda,ATG,North America,Caribbean,Latin America and the Caribbean
Argentina,ARG,South America,South America,Latin America and the Caribbean
Armenia,ARM,Asia,Western Asia,
Aruba,ABW,North America,Caribbean,Latin America and the Caribbean
Australia,AUS,Oceania,Australia and New Zealand,
Western Australia,AUS,Oceania,Australia and New Zealand,
Austria,AUT,Europe,Western Europe,
Azerbaijan,AZE,Asia,Western Asia,
Artsakh,AZE,Asia,Western Asia,
Bahamas,BHS,North America,Caribbean,Latin America and the Caribbean
Bahrain,BHR,Asia,Western Asia,
Bangladesh,BGD,Asia,Southern Asia,
Barbados,BRB,North America,Caribbean,Latin America and the Caribbean
Belarus,BLR,Europe,Eastern Europe,
Belgium,BEL,Europe,Western Europe,
Belize,BLZ,North America,Central America,Latin America and the Caribbean
Benin,BEN,Africa,Western Africa,Sub-Saharan Africa
Bermuda,BMU,North America,Northern America,
Bhutan,BTN,Asia,Southern Asia,
Bolivia,BOL,South America,South America,Latin America and the Caribbean
Aymara,,South America,South America,Latin America and the Caribbean
Bonaire,BES,North America,Caribbean,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe,
Botswana,BWA,Africa,Southern Africa,Sub-Saharan Africa
Bouvet Island,BVT,South America,South America,Latin America and the Caribbean
Brazil,BRA,South America,South America,Latin America and the Caribbean
British Indian Ocean Territory,IOT,Africa,Eastern Africa,Sub-Saharan Africa
Chagos Islands,IOT,Africa,Eastern Africa,Sub-Saharan Africa
British Virgin Islands,VGB,North America,Caribbean,Latin America and the Caribbean
Brunei,BRN,Asia,South-eastern Asia,
Brunei Darussalam,BRN,Asia,South-eastern Asia,
Bulgaria,BGR,Europe,Eastern Europe,
Burkina Faso,BFA,Africa,Western Africa,Sub-Saharan Africa
Burundi,BDI,Africa,Eastern Africa,Sub-Saharan Africa
Cape Verde,CPV,Africa,Western Africa,Sub-Saharan Africa
Cambodia,KHM,Asia,South-eastern Asia,
Cameroon,CMR,Africa,Middle Africa,Sub-Saharan Africa
Canada,CAN,North America,Northern America,
Cayman Islands,CYM,North America,Caribbean,Latin America and the Caribbean
Central African Republic,CAF,Africa,Middle Africa,Sub-Saharan Africa
Chad,TCD,Africa,Middle Africa,Sub-Saharan Africa
Chile,CHL,South America,South America,Latin America and the Caribbean
Maule Sur,CHL,South America,South America,Latin America and the Caribbean
Mapuche,,South America,South America,Latin America and the Caribbean
China PR,CHN,Asia,Eastern Asia,
Tibet,CHN,Asia,Eastern Asia,
Manchukuo,CHN,Asia,Eastern Asia,
Hong Kong,HKG,Asia,Eastern Asia,
Macau,MAC,Asia,Eastern Asia,
Taiwan,TWN,Asia,Eastern Asia,
Christmas Island,CXR,Oceania,Australia and New Zealand,
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,
Colombia,COL,South America,South America,Latin America and the Caribbean
Comoros,COM,Africa,Eastern Africa,Sub-Saharan Africa
Congo,COG,Africa,Middle Africa,Sub-Saharan Africa
Cook Islands,COK,Oceania,Polynesia,
Costa Rica,CRI,North America,Central America,Latin America and the Caribbean
Côte d’Ivoire,CIV,Africa,Western Africa,Sub-Saharan Africa
Croatia,HRV,Europe,Southern Europe,
Cuba,CUB,North America,Caribbean,Latin America and the Caribbean
Curaçao,CUW,North America,Caribbean,Latin America and the Caribbean
Cyprus,CYP,Asia,Western Asia,
Northern Cyprus,CYP,Asia,Western Asia,
Czech Republic,CZE,Europe,Eastern Europe,
Czechoslovakia,,Europe,Eastern Europe,
North Korea,PRK,Asia,Eastern Asia,
DR Congo,COD,Africa,Middle Africa,Sub-Saharan Africa
Denmark,DNK,Europe,Northern Europe,
Djibouti,DJI,Africa,Eastern Africa,Sub-Saharan Africa
Dominica,DMA,North America,Caribbean,Latin America and the Caribbean
Dominican Republic,DOM,North America,Caribbean,Latin America and the Caribbean
Ecuador,ECU,South America,South America,Latin America and the Caribbean
Egypt,EGY,Africa,Northern Africa,
El Salvador,SLV,North America,Central America,Latin America and the Caribbean
Equatorial Guinea,GNQ,Africa,Middle Africa,Sub-Saharan Africa
Eritrea,ERI,Africa,Eastern Africa,Sub-Saharan Africa
Estonia,EST,Europe,Northern Europe,
Saare County,EST,Europe,Northern Europe,
Eswatini,SWZ,Africa,Southern Africa,Sub-Saharan Africa
Ethiopia,ETH,Africa,Eastern Africa,
Falkland Islands,FLK,South America,South America,Sub-Saharan Africa
